site,url,ground_truth,prefilter,haiku_call_1,haiku_call_2,haiku_call_3,haiku_majority,haiku_agrees,gpt4omini_call_1,gpt4omini_call_2,gpt4omini_call_3,gpt4omini_majority,gpt4omini_agrees
newegg,https://www.newegg.com/displayport-cables/subcategory/id-2813,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/everyday-saving-trending-deals/eventsalestore/id-9447?N=100006676&cm_sp=Tab_Components-_-Flyout-_-Deals-by-Categroy-_-CPU-Processor,NON-HELPFUL,non-helpful-search,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,True,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,True
newegg,https://www.newegg.com/system-specific-memory/subcategory/id-543,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/insider/how-to-choose-a-pc-power-supply-buying-guide/,NON-HELPFUL,non-helpful-empty,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,True,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,True
newegg,https://www.newegg.com/extenders-repeaters/subcategory/id-3029,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/hard-drive/category/id-15,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/rca-cables/subcategory/id-2831,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/instrument-professional-cables/subcategory/id-2819,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/p/pl?N=100006670+4016,NON-HELPFUL,non-helpful-search,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,True,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,True
newegg,https://www.newegg.com/power-adapters/subcategory/id-3047,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/card-readers/subcategory/id-69,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/power-supply/category/id-32,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/cable/category/id-197,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/gpus-video-graphics-cards/subcategory/id-48,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/usb-gadgets/subcategory/id-59,HELPFUL,,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,False,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/hard-drive-ssd-cooling/subcategory/id-577,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/server-workstation-system/subcategory/id-386,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/mini-displayport-cables/subcategory/id-2823,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/computer-case/category/id-9,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/components-storage/store/id-1,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/server-cpu-processor/subcategory/id-727,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/everyday-saving-trending-deals/eventsalestore/id-9447?N=100006662&cm_sp=Tab_Components-_-Flyout-_-Deals-by-Categroy-_-Video-Card,NON-HELPFUL,non-helpful-search,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,True,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,True
newegg,https://www.newegg.com/desktop-memory/subcategory/id-147,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/video-card-accessories/subcategory/id-321,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/cd-dvd-accessories/subcategory/id-219,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/backup-devices-media/category/id-2,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/hdd-ssd-accessories/subcategory/id-43,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/blu-ray-burners/subcategory/id-600,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/other-computer-accessories/subcategory/id-95,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/cd-dvd-drives/subcategory/id-55,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/clearancestore/eventsalestore/id-697?cm_sp=Clearance_entrance-_-RolloverMenu,HELPFUL,,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,False,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/adapter-gender-changer/category/id-256,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/internal-ssds/subcategory/id-636,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/external-cd-dvd-blu-ray-drives/subcategory/id-420,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/power-extension-cords/subcategory/id-2829,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/motherboard-accessories/subcategory/id-142,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/case-fans/subcategory/id-573,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/rca-composite-cables/subcategory/id-2833,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/case-accessories/subcategory/id-255,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/usb-display-adapters/subcategory/id-3046,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/laptop-memory/subcategory/id-381,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/power-protection/category/id-314,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/computer-power-adapter-cords/subcategory/id-2828,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/insider/choosing-the-right-gaming-motherboard-2025/,HELPFUL,,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,False,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,False
newegg,https://www.newegg.com/laptop-add-on-cards/subcategory/id-421,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/laptops-notebooks/subcategory/id-32,HELPFUL,,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,False,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,False
newegg,https://www.newegg.com/thunderbolt-cables-adapters/subcategory/id-3011,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/computer-cases/subcategory/id-7,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/rackmount-nas/subcategory/id-2982,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/everyday-saving-trending-deals/eventsalestore/id-9447?N=100006654&cm_sp=Tab_Components-_-Flyout-_-Deals-by-Categroy-_-Motherboard,NON-HELPFUL,non-helpful-search,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,True,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,True
newegg,https://www.newegg.com/computer-systems/store/id-3,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/usb-chargers/subcategory/id-3700,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/cables/category/id-197,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/usb-converters/subcategory/id-3026,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/external-ssds/subcategory/id-2022,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/hdmi-cables/subcategory/id-2809,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/modular-adapters/subcategory/id-3023,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/backup-media/subcategory/id-239,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/desktop-computer/category/id-228,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/enterprise-ssds/subcategory/id-2021,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/portable-external-hard-drives/subcategory/id-3400,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/add-on-cards/subcategory/id-73,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/desktop-internal-hard-drives/subcategory/id-14,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/motherboard/category/id-20,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/power-inverters/subcategory/id-536,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/computer-accessories/category/id-1,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/amd-motherboards/subcategory/id-22,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/all-in-one-computer/subcategory/id-3309,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/everyday-saving-trending-deals/eventsalestore/id-9447?N=100006650&cm_sp=Tab_Components-_-Flyout-_-Deals-by-Categroy-_-Memory,NON-HELPFUL,non-helpful-search,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,True,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,True
newegg,https://www.newegg.com/desktop-external-hard-drives/subcategory/id-414,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/cd-dvd-burners/subcategory/id-5,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/tools/nas-builder?cm_sp=hamburger-_-shopping-tools-_-nas-buidler,NON-HELPFUL,,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,False
newegg,https://www.newegg.com/diy-cooling/subcategory/id-3635,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/server-memory/subcategory/id-541,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/cpu-fans-heatsinks/subcategory/id-574,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/video-adapters/subcategory/id-3045,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/speaker-wires/subcategory/id-2837,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/desktop-cpu-processor/subcategory/id-343,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/usb-flash-drives/subcategory/id-522,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/s-video-cables/subcategory/id-2838,HELPFUL,,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,False,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/desktop-nas/subcategory/id-124,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/audio-video-switch/subcategory/id-3049,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/usb-ieee-1394-firewire-adapters/subcategory/id-3025,HELPFUL,,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,False,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/intel-motherboards/subcategory/id-280,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/everyday-saving-trending-deals/eventsalestore/id-9447?N=100011693&cm_sp=Tab_Components-_-Flyout-_-Deals-by-Category-_-SSD,NON-HELPFUL,non-helpful-search,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,True,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,True
newegg,https://www.newegg.com/computer-glasses/subcategory/id-774,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/cd-dvd-blu-ray-media/subcategory/id-71,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/ups-replacement-battery-accessories/subcategory/id-626,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/computer-power-extension-cords/subcategory/id-2842,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/barebone-mini-computers/category/id-3,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/charleston-slave-auction-historical-marker,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/connecticut-towing-reforms,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/cookie-zoe-macon-georgia-school-segregation-documentary,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/family-photos-of-shoe-lane-destruction,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/salmon-wars-podcast-episodes,HELPFUL,,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,False,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/camden-alabama-segregated-schools-brown-v-board,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/trump-social-security-ssi-disability-benefits-cuts-parents-children,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/propublica-suing-department-of-education,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/christopher-newport-university-virginia-black-neighborhoods-enrollment,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/alabama-researchers-segregation-academies-school-vouchers,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/thomasville-alabama-segregation-academies,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/native-american-remains-returned-repatriation-nagpra,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/wilcox-county-alabama-segregation-academies,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/segregation-academies-public-schools-amite-county-mississippi,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/virginia-commission-investigate-black-community-displacement-universities,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/armor-health-florida-jail-deaths,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/macon-georgia-segregation-academies-school-vouchers,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/memphis-safe-task-force-police-harassment,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/syphilis-south-dakota-great-plains-tribes-hhs-becerra,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/have-you-been-denied-a-parent-plus-loan-share-your-story-with-us,NON-HELPFUL,,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,True,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,True
propublica,https://www.propublica.org/article/trading-water-in-the-west-limiting-ceo-pay-and-more,HELPFUL,,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,False,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/lobby-clash-begins-on-consumer-finance-watchdog,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/video-shirley-ree-smith-in-her-own-words,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/conservationists-see-rare-nature-sanctuaries-black-farmers-see-a-legacy-bought-out-from-under-them,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/natural-gas-drilling-debate-heats-up-read-our-guide,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/our-sputtering-economy-by-the-numbers,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/report-on-airport-backscatter-body-scanners,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/book-bans-texas-libraries,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
propublica,https://www.propublica.org/article/sean-duffy-trump-transportation-secretary-congress-funding,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
